1k, train_mse: 0.0028214718, test1_mse: 0.0028986281, test2_mse: 0.0025157258
2k, train_mse: 0.0023370883, test1_mse: 0.002395777, test2_mse: 0.0020411096
3k, train_mse: 0.002240931, test1_mse: 0.002294735, test2_mse: 0.0019251597
4k, train_mse: 0.001852487, test1_mse: 0.0018797802, test2_mse: 0.0016653697
5k, train_mse: 0.0016903565, test1_mse: 0.0017259645, test2_mse: 0.0013997727
6k, train_mse: 0.0013824564, test1_mse: 0.0013804524, test2_mse: 0.0009934938
7k, train_mse: 0.0010910155, test1_mse: 0.0010874002, test2_mse: 0.0007870925
8k, train_mse: 0.0010203517, test1_mse: 0.0010095196, test2_mse: 0.00073386205
9k, train_mse: 0.001416748, test1_mse: 0.0014243287, test2_mse: 0.0009300331
10k, train_mse: 0.00069216185, test1_mse: 0.00068451866, test2_mse: 0.0005347055
11k, train_mse: 0.00056059833, test1_mse: 0.00055441476, test2_mse: 0.00039615575
12k, train_mse: 0.00041332812, test1_mse: 0.00040803754, test2_mse: 0.00028493302
13k, train_mse: 0.000416361, test1_mse: 0.00041841308, test2_mse: 0.0002977639
14k, train_mse: 0.00037442058, test1_mse: 0.0003754636, test2_mse: 0.0002590768
15k, train_mse: 0.0003430896, test1_mse: 0.00034782206, test2_mse: 0.00024029998
16k, train_mse: 0.00040240743, test1_mse: 0.00040530134, test2_mse: 0.00028920322
17k, train_mse: 0.00034251457, test1_mse: 0.00034738937, test2_mse: 0.00024573802
18k, train_mse: 0.00029221643, test1_mse: 0.00029623232, test2_mse: 0.00019187329
19k, train_mse: 0.00029906974, test1_mse: 0.00030199703, test2_mse: 0.00022002931
20k, train_mse: 0.00023661698, test1_mse: 0.000237509, test2_mse: 0.00016351556
21k, train_mse: 0.00026974102, test1_mse: 0.0002749335, test2_mse: 0.00019185182
22k, train_mse: 0.00024009909, test1_mse: 0.0002430117, test2_mse: 0.00015963128
23k, train_mse: 0.00029615994, test1_mse: 0.0003035345, test2_mse: 0.00019711976
24k, train_mse: 0.00023235257, test1_mse: 0.0002352081, test2_mse: 0.00015373067
25k, train_mse: 0.00019621685, test1_mse: 0.00020178099, test2_mse: 0.00012922115
26k, train_mse: 0.00024785774, test1_mse: 0.00024837165, test2_mse: 0.0001587394
27k, train_mse: 0.0001934616, test1_mse: 0.00019475812, test2_mse: 0.00013075909
28k, train_mse: 0.00023610517, test1_mse: 0.00023437612, test2_mse: 0.00017747523
29k, train_mse: 0.00020169077, test1_mse: 0.00020742053, test2_mse: 0.0001529488
30k, train_mse: 0.0001947697, test1_mse: 0.00019490061, test2_mse: 0.000121462
31k, train_mse: 0.00017408257, test1_mse: 0.00017773271, test2_mse: 0.00010959428
32k, train_mse: 0.00019136848, test1_mse: 0.00019122416, test2_mse: 0.00012752869
33k, train_mse: 0.00018646434, test1_mse: 0.00018477709, test2_mse: 0.00011955675
34k, train_mse: 0.00026314927, test1_mse: 0.00026898272, test2_mse: 0.0001914098
35k, train_mse: 0.00016147511, test1_mse: 0.00016570344, test2_mse: 0.00010856583
36k, train_mse: 0.00018174185, test1_mse: 0.00018032647, test2_mse: 0.00012847265
37k, train_mse: 0.00017399472, test1_mse: 0.00017482658, test2_mse: 0.0001246125
38k, train_mse: 0.00015390215, test1_mse: 0.0001559674, test2_mse: 9.72322e-05
39k, train_mse: 0.00016189391, test1_mse: 0.00016165116, test2_mse: 0.00010052232
40k, train_mse: 0.00015854926, test1_mse: 0.00015949011, test2_mse: 0.0001027801
41k, train_mse: 0.00016673283, test1_mse: 0.0001694538, test2_mse: 0.000107859196
